conf,m,grid_size,in0_sharded,out_sharded,in0_storage_type,out_storage_type,in1_storage_type,dtype,math_fidelity,torch_creation,ttnn_creation,to_layout,to_device
f16_m2,256,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,81.51,1274.38,6695.68,1177.81
f16_m2,512,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,667.59,2768.41,24613.24,2610.06
f16_m2,1024,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,1235.75,10723.25,95887.16,8812.62
f16_m2,2048,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,11597.99,42047.32,391388.34,34532.26
f16_m2,3072,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,12144.78,92674.91,845914.82,72345.47
f16_m2,4096,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,11341.86,167673.47,1512971.83,129991.94
f16_m2,8192,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,43359.47,663592.47,6044519.76,517420.29
f16_m4,256,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,1408.73,797.53,6401.94,1101.99
f16_m4,512,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,191.82,2840.46,25100.92,2657.03
f16_m4,1024,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,3466.09,10700.81,95082.95,8770.30
f16_m4,2048,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,2429.88,41636.07,374591.16,33498.53
f16_m4,3072,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,7854.51,92904.33,841086.10,72178.86
f16_m4,4096,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,15095.40,164165.58,1509371.92,129446.74
f16_m4,8192,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,39938.66,663057.11,6041546.87,516299.82
f8b_m2,256,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,1534.00,799.95,7021.67,1104.35
f8b_m2,512,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,162.14,2819.01,24488.50,2677.94
f8b_m2,1024,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,3034.27,10700.31,95517.33,8788.61
f8b_m2,2048,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,6592.03,41487.73,374996.92,33370.33
f8b_m2,3072,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,7431.02,91515.68,844655.39,72125.24
f8b_m2,4096,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,16407.66,168105.77,1509951.88,129178.33
f8b_m2,8192,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,40250.26,663339.19,6060844.59,517054.58
f8b_m0,256,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,1181.18,800.41,7031.15,1055.50
f8b_m0,512,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,118.03,2800.23,23987.41,2519.54
f8b_m0,1024,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,4866.21,10602.57,93528.39,8662.18
f8b_m0,2048,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,7089.36,40717.97,374223.64,33397.82
f8b_m0,3072,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,8732.63,90305.36,842687.77,72218.16
f8b_m0,4096,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,12197.15,166089.44,1512136.63,129872.37
f8b_m0,8192,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,37224.02,667589.06,6047375.30,516348.22
f4b_m0,256,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,1265.31,798.75,6951.14,1048.18
f4b_m0,512,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,492.99,2798.39,24160.58,2550.01
f4b_m0,1024,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,1789.26,10664.75,93971.40,8645.15
f4b_m0,2048,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,3589.28,40693.85,373499.56,33335.04
f4b_m0,3072,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,6164.27,92166.72,842526.29,71880.03
f4b_m0,4096,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,11987.17,161947.67,1510871.29,129137.33
f4b_m0,8192,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,36835.91,663125.25,6049942.40,516482.33
