"m","k","n","use_trace","grid_size","in0_sharded","out_sharded","in0_storage_type","in1_storage_type","out_storage_type","dtype","math_fidelity","inference_time_avg (ns)","TFLOPs (avg)","Utilization (vs user grid)","Utilization (vs 8x8 full grid)"
"512","512","512","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","378654","0.71","0.54%","0.54%"
"512","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","363193","2.96","2.26%","2.26%"
"512","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","362425","5.93","4.52%","4.52%"
"1024","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","360315","5.96","4.55%","4.55%"
"1024","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","360370","11.92","9.09%","9.09%"
"1024","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","361652","23.75","18.12%","18.12%"
"2048","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","360396","47.67","36.37%","36.37%"
"2048","2048","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","357599","72.06","54.98%","54.98%"
"2048","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","509491","75.87","57.88%","57.88%"
"3072","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","790913","73.31","55.93%","55.93%"
"3072","3072","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.1777e+06","65.64","50.08%","50.08%"
"3072","4096","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.44314e+06","71.43","54.49%","54.49%"
"4096","4096","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","2.07709e+06","66.17","50.48%","50.48%"
"8192","8192","8192","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.44337e+07","76.18","58.12%","58.12%"
"16384","16384","16384","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.07906e+08","81.52","62.19%","62.19%"
"512","512","512","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","354750","0.76","1.15%","1.15%"
"512","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","354664","3.03","4.62%","4.62%"
"512","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","357769","6","9.16%","9.16%"
"1024","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","358937","5.98","9.13%","9.13%"
"1024","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","361688","11.87","18.12%","18.12%"
"1024","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","365498","23.5","35.86%","35.86%"
"2048","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","364318","47.16","71.95%","71.95%"
"2048","2048","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","494421","52.12","79.53%","79.53%"
"2048","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","746684","51.77","78.99%","78.99%"
"3072","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","1.14083e+06","50.82","77.55%","77.55%"
"3072","3072","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","1.71129e+06","45.18","68.93%","68.93%"
"3072","4096","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","2.20082e+06","46.84","71.47%","71.47%"
"4096","4096","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","2.8713e+06","47.87","73.04%","73.04%"
"8192","8192","8192","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","2.18014e+07","50.43","76.95%","76.95%"
"16384","16384","16384","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","1.71243e+08","51.37","78.38%","78.38%"
"512","512","512","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","355988","0.75","0.29%","0.29%"
"512","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","357294","3.01","1.15%","1.15%"
"512","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","355995","6.03","2.30%","2.30%"
"1024","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","359674","5.97","2.28%","2.28%"
"1024","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","364969","11.77","4.49%","4.49%"
"1024","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","372298","23.07","8.80%","8.80%"
"2048","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","362940","47.34","18.06%","18.06%"
"2048","2048","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","362773","71.04","27.10%","27.10%"
"2048","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","364785","105.97","40.42%","40.42%"
"3072","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","408983","141.77","54.08%","54.08%"
"3072","3072","4096","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","541277","142.83","54.48%","54.48%"
"3072","4096","4096","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","706060","145.99","55.69%","55.69%"
"4096","4096","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","1.03637e+06","132.62","50.59%","50.59%"
"8192","8192","8192","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","7.4627e+06","147.33","56.20%","56.20%"
"16384","16384","16384","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","5.71668e+07","153.87","58.70%","58.70%"
"512","512","512","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","367584","0.73","0.56%","0.56%"
"512","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","361781","2.97","2.26%","2.26%"
"512","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","360990","5.95","4.54%","4.54%"
"1024","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","360477","5.96","4.55%","4.55%"
"1024","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","361416","11.88","9.07%","9.07%"
"1024","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","360181","23.85","18.20%","18.20%"
"2048","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","359807","47.75","36.43%","36.43%"
"2048","2048","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","358889","71.8","54.78%","54.78%"
"2048","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","387597","99.73","76.09%","76.09%"
"3072","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","645556","89.82","68.53%","68.53%"
"3072","3072","4096","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","906856","85.25","65.04%","65.04%"
"3072","4096","4096","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","1.03474e+06","99.62","76.00%","76.00%"
"4096","4096","4096","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.HiFi2","1.49746e+06","91.78","70.02%","70.02%"
"8192","8192","8192","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.HiFi2","1.15253e+07","95.4","72.78%","72.78%"
"16384","16384","16384","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.HiFi2","9.06774e+07","97","74.01%","74.01%"
"512","512","512","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","357399","0.75","0.29%","0.29%"
"512","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","359850","2.98","1.14%","1.14%"
"512","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","358658","5.99","2.28%","2.28%"
"1024","1024","1024","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","359278","5.98","2.28%","2.28%"
"1024","1024","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","358381","11.98","4.57%","4.57%"
"1024","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","356746","24.08","9.19%","9.19%"
"2048","2048","2048","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","361416","47.53","18.13%","18.13%"
"2048","2048","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","357502","72.08","27.50%","27.50%"
"2048","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","360315","107.28","40.92%","40.92%"
"3072","3072","3072","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","359447","161.31","61.53%","61.53%"
"3072","3072","4096","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","386701","199.92","76.26%","76.26%"
"3072","4096","4096","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","528603","195","74.39%","74.39%"
"4096","4096","4096","False","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","704734","195.02","74.40%","74.40%"
"8192","8192","8192","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","5.80098e+06","189.54","72.30%","72.30%"
"16384","16384","16384","False","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","4.62353e+07","190.25","72.57%","72.57%"
"512","512","512","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","13051","20.57","15.69%","15.69%"
"512","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","29254","36.7","28.00%","28.00%"
"512","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","52824","40.65","31.02%","31.02%"
"1024","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","36845.2","58.28","44.47%","44.47%"
"1024","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","65000.1","66.08","50.41%","50.41%"
"1024","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","120201","71.46","54.52%","54.52%"
"2048","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","218179","78.74","60.08%","60.08%"
"2048","2048","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","330052","78.08","59.57%","59.57%"
"2048","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","499430","77.4","59.05%","59.05%"
"3072","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi2","768714","75.43","57.55%","57.55%"
"3072","3072","4096","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.13666e+06","68.01","51.89%","51.89%"
"3072","4096","4096","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.37919e+06","74.74","57.02%","57.02%"
"4096","4096","4096","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.98296e+06","69.31","52.88%","52.88%"
"8192","8192","8192","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.3634e+07","80.64","61.53%","61.53%"
"16384","16384","16384","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1.01918e+08","86.31","65.85%","65.85%"
"512","512","512","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","13451.6","19.96","30.45%","30.45%"
"512","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","30355.5","35.37","53.97%","53.97%"
"512","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","55108.1","38.97","59.46%","59.46%"
"1024","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","46296.1","46.39","70.78%","70.78%"
"1024","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","88396.1","48.59","74.14%","74.14%"
"1024","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","169585","50.65","77.29%","77.29%"
"2048","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","326509","52.62","80.29%","80.29%"
"2048","2048","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","493205","52.25","79.73%","79.73%"
"2048","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","723646","53.42","81.51%","81.51%"
"3072","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT16","MathFidelity.HiFi4","1.10006e+06","52.71","80.43%","80.43%"
"3072","3072","4096","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","1.63843e+06","47.19","72.00%","72.00%"
"3072","4096","4096","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","2.10337e+06","49.01","74.78%","74.78%"
"4096","4096","4096","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","2.71992e+06","50.53","77.10%","77.10%"
"8192","8192","8192","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","2.06619e+07","53.21","81.20%","81.20%"
"16384","16384","16384","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi4","1.61645e+08","54.42","83.03%","83.03%"
"512","512","512","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","10769.4","24.93","9.51%","9.51%"
"512","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","20384.8","52.67","20.09%","20.09%"
"512","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","32320","66.44","25.35%","25.35%"
"1024","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","23441.3","91.61","34.95%","34.95%"
"1024","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","38425.9","111.77","42.64%","42.64%"
"1024","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","65989.5","130.17","49.66%","49.66%"
"2048","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","119739","143.48","54.73%","54.73%"
"2048","2048","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","179234","143.78","54.85%","54.85%"
"2048","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","263422","146.74","55.98%","55.98%"
"3072","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","398071","145.66","55.56%","55.56%"
"3072","3072","4096","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","528693","146.23","55.78%","55.78%"
"3072","4096","4096","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.LoFi","689044","149.6","57.07%","57.07%"
"4096","4096","4096","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","999753","137.47","52.44%","52.44%"
"8192","8192","8192","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","7.07856e+06","155.33","59.25%","59.25%"
"16384","16384","16384","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","5.40224e+07","162.82","62.11%","62.11%"
"512","512","512","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","10929.1","24.56","18.74%","18.74%"
"512","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","21283.6","50.45","38.49%","38.49%"
"512","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","34582.6","62.1","47.38%","47.38%"
"1024","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","27463.4","78.19","59.66%","59.66%"
"1024","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","48723.2","88.15","67.25%","67.25%"
"1024","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","89893.3","95.56","72.90%","72.90%"
"2048","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","171468","100.19","76.44%","76.44%"
"2048","2048","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","259032","99.48","75.90%","75.90%"
"2048","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","381544","101.31","77.29%","77.29%"
"3072","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","572093","101.35","77.32%","77.32%"
"3072","3072","4096","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","759678","101.77","77.64%","77.64%"
"3072","4096","4096","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT8_B","MathFidelity.HiFi2","1.00011e+06","103.07","78.63%","78.63%"
"4096","4096","4096","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.HiFi2","1.43136e+06","96.02","73.26%","73.26%"
"8192","8192","8192","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.HiFi2","1.08622e+07","101.22","77.23%","77.23%"
"16384","16384","16384","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.HiFi2","8.55858e+07","102.78","78.41%","78.41%"
"512","512","512","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","10182.9","26.36","10.06%","10.06%"
"512","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","17058.8","62.94","24.01%","24.01%"
"512","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","26030.5","82.5","31.47%","31.47%"
"1024","1024","1024","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","19059.2","112.67","42.98%","42.98%"
"1024","1024","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","30508","140.78","53.70%","53.70%"
"1024","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","50296.8","170.78","65.15%","65.15%"
"2048","2048","2048","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","90451.2","189.94","72.45%","72.45%"
"2048","2048","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","134931","190.99","72.86%","72.86%"
"2048","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","196865","196.35","74.90%","74.90%"
"3072","3072","3072","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","290744","199.43","76.08%","76.08%"
"3072","3072","4096","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","384467","201.08","76.71%","76.71%"
"3072","4096","4096","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","515461","199.97","76.28%","76.28%"
"4096","4096","4096","True","(8, 8)","True","True","L1","DRAM","L1","DataType.BFLOAT4_B","MathFidelity.LoFi","682909","201.26","76.77%","76.77%"
"8192","8192","8192","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","5.52199e+06","199.12","75.96%","75.96%"
"16384","16384","16384","True","(8, 8)","False","False","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","4.36456e+07","201.53","76.88%","76.88%"