"m","k","n","use_trace","grid_size","in0_storage_type","in1_storage_type","out_storage_type","dtype","math_fidelity","inference_time_avg (ns)","TFLOPs (avg)","Utilization (vs user grid)","Utilization (vs 8x8 full grid)"
"512","512","512","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","400640.96","0.67","0.51%","0.51%"
"512","1024","1024","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","296726.23","3.62","2.76%","2.76%"
"512","1024","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","297236.44","7.22","5.51%","5.51%"
"1024","1024","1024","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","299668.31","7.17","5.47%","5.47%"
"1024","1024","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","300722.12","14.28","10.90%","10.90%"
"1024","2048","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","300738.81","28.56","21.79%","21.79%"
"2048","2048","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","305151.94","56.3","42.95%","42.95%"
"2048","2048","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","460939.41","55.91","42.65%","42.65%"
"2048","3072","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","596759.32","64.77","49.42%","49.42%"
"3072","3072","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","902006.63","64.28","49.04%","49.04%"
"3072","3072","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1180622.58","65.48","49.96%","49.96%"
"3072","4096","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1516034.6","67.99","51.87%","51.87%"
"4096","4096","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","2168009.28","63.39","48.37%","48.37%"
"512","512","512","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","393490.79","0.68","0.52%","0.52%"
"512","1024","1024","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","114793.78","9.35","7.14%","7.14%"
"512","1024","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","141630.17","15.16","11.57%","11.57%"
"1024","1024","1024","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","70357.32","30.52","23.29%","23.29%"
"1024","1024","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","115475.65","37.19","28.38%","28.38%"
"1024","2048","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","163207.05","52.63","40.16%","40.16%"
"2048","2048","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","302982.33","56.7","43.26%","43.26%"
"2048","2048","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","451309.68","57.1","43.56%","43.56%"
"2048","3072","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","580670.83","66.57","50.79%","50.79%"
"3072","3072","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","873718.26","66.36","50.63%","50.63%"
"3072","3072","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1135830.88","68.06","51.93%","51.93%"
"3072","4096","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","1455934.05","70.8","54.02%","54.02%"
"4096","4096","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT16","MathFidelity.HiFi2","2048006.06","67.11","51.20%","51.20%"
"512","512","512","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","371801.85","0.72","0.28%","0.28%"
"512","1024","1024","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","300638.68","3.57","1.36%","1.36%"
"512","1024","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","293450.36","7.32","2.79%","2.79%"
"1024","1024","1024","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","300242.9","7.15","2.73%","2.73%"
"1024","1024","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","299191.47","14.36","5.48%","5.48%"
"1024","2048","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","300562.38","28.58","10.90%","10.90%"
"2048","2048","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","300052.17","57.26","21.84%","21.84%"
"2048","2048","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","303642.75","84.87","32.37%","32.37%"
"2048","3072","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","304903.98","126.78","48.36%","48.36%"
"3072","3072","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","451674.46","128.37","48.97%","48.97%"
"3072","3072","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","585849.29","131.96","50.34%","50.34%"
"3072","4096","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","749573.71","137.52","52.46%","52.46%"
"4096","4096","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","1039688.59","132.19","50.43%","50.43%"
"512","512","512","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","365591.05","0.73","0.28%","0.28%"
"512","1024","1024","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","73513.98","14.61","5.57%","5.57%"
"512","1024","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","86894.04","24.71","9.43%","9.43%"
"1024","1024","1024","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","41377.54","51.9","19.80%","19.80%"
"1024","1024","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","67162.51","63.95","24.39%","24.39%"
"1024","2048","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","91803.07","93.57","35.69%","35.69%"
"2048","2048","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","159378.05","107.79","41.12%","41.12%"
"2048","2048","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","235373.97","109.48","41.77%","41.77%"
"2048","3072","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","300071.24","128.82","49.14%","49.14%"
"3072","3072","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","441164.97","131.43","50.14%","50.14%"
"3072","3072","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","570080.28","135.61","51.73%","51.73%"
"3072","4096","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","736315.25","139.99","53.40%","53.40%"
"4096","4096","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT8_B","MathFidelity.LoFi","996146.2","137.97","52.63%","52.63%"
"512","512","512","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","367822.65","0.73","0.28%","0.28%"
"512","1024","1024","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","295593.74","3.63","1.39%","1.39%"
"512","1024","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","294413.57","7.29","2.78%","2.78%"
"1024","1024","1024","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","299553.87","7.17","2.73%","2.73%"
"1024","1024","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","299890.04","14.32","5.46%","5.46%"
"1024","2048","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","301394.46","28.5","10.87%","10.87%"
"2048","2048","2048","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","299687.39","57.33","21.87%","21.87%"
"2048","2048","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","299446.58","86.06","32.83%","32.83%"
"2048","3072","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","300545.69","128.62","49.06%","49.06%"
"3072","3072","3072","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","338408.95","171.34","65.36%","65.36%"
"3072","3072","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","447473.53","172.77","65.91%","65.91%"
"3072","4096","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","564715.86","182.53","69.63%","69.63%"
"4096","4096","4096","False","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","766568.18","179.29","68.39%","68.39%"
"512","512","512","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","361955.17","0.74","0.28%","0.28%"
"512","1024","1024","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","58608.06","18.32","6.99%","6.99%"
"512","1024","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","65336.23","32.87","12.54%","12.54%"
"1024","1024","1024","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","28140.54","76.31","29.11%","29.11%"
"1024","1024","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","44860.84","95.74","36.52%","36.52%"
"1024","2048","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","64001.08","134.22","51.20%","51.20%"
"2048","2048","2048","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","115413.67","148.85","56.78%","56.78%"
"2048","2048","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","171816.35","149.98","57.21%","57.21%"
"2048","3072","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","232594.01","166.19","63.40%","63.40%"
"3072","3072","3072","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","333464.15","173.88","66.33%","66.33%"
"3072","3072","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","437791.35","176.59","67.36%","67.36%"
"3072","4096","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","551083.09","187.05","71.35%","71.35%"
"4096","4096","4096","True","(8, 8)","DRAM","DRAM","DRAM","DataType.BFLOAT4_B","MathFidelity.LoFi","728187.56","188.74","72.00%","72.00%"